URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/diagnostic-report-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.236",DiagnosticReportStatus,DiagnosticReportStatus,"The status of the diagnostic report.","ValueSet/be-vs-diabetes-report-status"
http://hl7.org/fhir/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.4.401",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","ValueSet/be-vs-diabetes-observation-status"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/be-vs-diabetes-report-code,ValueSet/be-vs-diabetes-report-category,ValueSet/be-vs-diabetes-observation-category,ValueSet/be-vs-diabetes-observation-code"
https://www.ehealth.fgov.be/standards/fhir/glucose-monitoring/CodeSystem/be-cs-diabetes-device-type,1.0.0,active,,BeCSDiabetesDeviceType,BeCSDiabetesDeviceType,"Identification codes for glucose monitoring sensor types used in Belgium.","ValueSet/be-vs-diabetes-device-type"
